,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
354363,GC-WD-DEO-2009-2010-Q2-0044,City of Medicine Hat|Ville de Medicine Hat,"Medicine Hat, AB",,Provide for the replacement and rehabilitation of ten city playgrounds in Medicine Hat,,8735,196106,6/30/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354364,GC-WD-DEO-2009-2010-Q2-0045,5N Plus Inc.|Firebird Technologies Inc.,"Saint-Laurent, QC|Saint-Laurent,",,Produce and distribute high purity cadmium shot,,8736,272350,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354365,GC-WD-DEO-2009-2010-Q2-0046,Forest Resource Improvement Association of Alberta,"Edmonton, AB",,Assist forest-based communities under the Fire Hazard Reduction and Forest Health Program,,7998,15000000,5/27/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354366,GC-WD-DEO-2009-2010-Q2-0047,Town of Sundre|Municipalité de Sundre,"Sundre, AB",,Support the Red Deer River Environmental Assessment and Engineering Study,,8025,84400,7/15/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354367,GC-WD-DEO-2009-2010-Q2-00123,J. Hinsche Contracting Ltd.,"100 Mile House, BC|100 Mile House, C.-B.",,Wildfire risk reduction activities,,10751,507215,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354368,GC-WD-DEO-2009-2010-Q2-0048,City of Leduc|Ville de Leduc,"Leduc, AB",,Assist with the improvements and upgrades to the Leduc Recreation Centre,,8260,416683,7/26/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354369,GC-WD-DEO-2009-2010-Q2-0053,St. Albert Curling Club|Club de curling de St. Albert,"St. Albert, AB",,Support renovations and upgrades to enhance the facilities at the St. Albert Curling Club,,8835,821884,7/15/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354370,GC-WD-DEO-2009-2010-Q2-0054,City of Lloydminster|Ville de Lloydminster,"Lloydminster, AB",,Upgrade and renovate the existing Weaver Park Campground,,8836,525203,7/30/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354371,GC-WD-DEO-2009-2010-Q2-0055,Village of Edgerton|Village d'Edgerton,"Edgerton, AB",,Provide for the installation of a new rink refrigeration system in the Edgerton Arena,,8840,101040,7/28/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354372,GC-WD-DEO-2009-2010-Q2-0056,Northern Village of Green Lake|Village nordique de Green Lake,"Green Lake, SK",,Upgrade the existing campground area and boat launch to promote local tourism,,8852,115700,7/30/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
