,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
357963,GC-WD-DEO-2018-2019-Q4-93,Southwest Community Futures Development Corporation,Swift Current,Community Futures Program,Help communities develop and implement local solutions to local problems.,000006227-9,6227,297669,4/1/19,3/31/20,Support operational funding for community economic development and business services,Western Canadian businesses have access to advisory services and capital.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358061,GC-WD-DEO-2019-2020-Q1-86,Community Futures Pan West Network Inc,Winnipeg,Community Futures Program,Help communities develop and implement local solutions to local problems.,000015094-2,15094,719000,4/1/19,3/31/21,Provide leadership and organizational capacity to CFs in Western Canada,Western Canadian businesses have access to advisory services and capital.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358309,GC-WD-DEO-2019-2020-Q2-239,Community Futures Partners of Saskatchewan Inc.,Saskatoon,Community Futures Program,Help communities develop and implement local solutions to local problems.,11004,11004,1539524,3/26/10,2/28/23,Provide support to the Community Futures Investment Fund of Saskatchewan,Increased investment to targeted western Canadian firms.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
357873,GC-WD-DEO-2018-2019-Q4-2,Community Futures Big Country,Drumheller,Community Futures Program,Help communities develop and implement local solutions to local problems.,000005854-12,5854,289550,4/1/19,3/31/20,Support operational funding for community economic development and business services,Increase in SME competitiveness and productivity.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358300,GC-WD-DEO-2019-2020-Q2-228,Fort McKay Metis Community Association|Association communautaire des Métis de Fort McKay ,Fort McMurray,Community Infrastructure Program,Provide community infrastructure funding in Western Canada to meet the Government of Canada¿s commitment to growth and the quality of life of all Canadians.,14310,14310,192421,3/14/17,4/30/18,Construct a community pavilion on the Metis cultural grounds in Fort McKay,"Maximize economic, social, cultural and environmental benefits to western Canadians through investments in public infrastructure in a coordinated manner with provincial and municipal governments.",,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358317,GC-WD-DEO-2019-2020-Q2-247,The University of British Columbia|Université de la Colombie-Britannique,Vancouver,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15509,15509,2950000,7/22/19,5/31/21,Establish nanofabrication commercialization initiative for quantum technologies,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358054,GC-WD-DEO-2019-2020-Q1-79,Alberta Women Entrepreneurs Association,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15400,15400,1140000,6/17/19,9/15/23,Launch a digital business training program for women entrepreneurs across Alberta,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358052,GC-WD-DEO-2019-2020-Q1-77,Apollo Machine and Welding Ltd.,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15606,15606,447480,6/26/19,3/31/21,Develop infrastructure and expertise for industrial metal additive manufacturing,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358051,GC-WD-DEO-2019-2020-Q1-76,Saskatchewan Collaborates Inc.,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15313,15313,250000,4/12/19,7/31/22,Increase Youth Participation in Tech Entrepreneurship,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358050,GC-WD-DEO-2019-2020-Q1-75,GT Metal Products Ltd.,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15585,15585,171238,6/26/19,3/31/21,Purchase new brake press to increase capabilities and productivity,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358049,GC-WD-DEO-2019-2020-Q1-74,University of Winnipeg,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15563,15563,5000,6/24/19,7/31/19,Support the 2019 High Performance Computing conference at the University of Winnipeg,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358048,GC-WD-DEO-2019-2020-Q1-73,Manitoba Women's Enterprise Centre Inc,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15456,15456,2254000,5/9/19,9/15/23,Establish a centralized national office to serve women entrepreneurs across Canada,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358046,GC-WD-DEO-2019-2020-Q1-71,Custom Castings Limited,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15614,15614,517500,6/28/19,3/31/21,Design and implement a fully automated precision machining cell,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358045,GC-WD-DEO-2019-2020-Q1-70,Tritana Holdings,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15591,15591,786635,6/27/19,3/31/21,Purchase equipment to optimize operations and expand production and capacity,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358229,GC-WD-DEO-2019-2020-Q2-157,WTCW Inc.,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15678,15678,1859100,7/30/19,9/30/22,Support cluster-based trade strategies to increase exports for Manitoba businesses,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358043,GC-WD-DEO-2019-2020-Q1-68,Lethbridge Economic Development Initiative Society,Lethbridge,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15322,15322,1681080,5/30/19,9/30/22,"Create a science, tech, engineering and math (STEM) network for women in southern Alberta",Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358042,GC-WD-DEO-2019-2020-Q1-67,The Governors of the University of Alberta,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15278,15278,50000,5/15/19,9/30/19,Deliver international advanced manufacturing event and hackathon in May 2019,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358230,GC-WD-DEO-2019-2020-Q2-158,C-FER Technologies (1999) Inc.,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15759,15759,225000,9/3/19,12/31/21,Expand specialized field measurement and high load calibration and certification services,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358231,GC-WD-DEO-2019-2020-Q2-159,Davey Textile Solutions Inc.,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15533,15533,742000,8/21/19,3/31/23,Expand and improve productivity for high-visibility safety stripping manufacturing,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358039,GC-WD-DEO-2019-2020-Q1-64,Manitoba Women's Enterprise Centre Inc,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15438,15438,1513900,5/31/19,9/15/23,Expand entrepreneurship services & supports to diverse women in rural and remote MB,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358038,GC-WD-DEO-2019-2020-Q1-63,University of Winnipeg,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15453,15453,2451167,4/17/19,9/30/22,Promote machine learning to grow the digital agriculture industry in Manitoba,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358055,GC-WD-DEO-2019-2020-Q1-80,Community Futures Development Corporation of the North Okanagan,Vernon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15401,15401,575000,5/30/19,9/15/23,Develop a business accelerator program for women entrepreneurs in North Okanagan,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358056,GC-WD-DEO-2019-2020-Q1-81,Menzies Roofing Corporation,Surrey,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15594,15594,663921,6/28/19,3/31/21,"Purchase two pieces of equipment, install resource system, and adopt lean management",Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358225,GC-WD-DEO-2019-2020-Q2-153,Real Estate Webmasters Inc.,Nanaimo,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15512,15512,2583862,8/6/19,8/15/22,Commercialize a property inventory management system in Europe,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358037,GC-WD-DEO-2019-2020-Q1-62,Croatia Industries Limited,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15619,15619,810000,6/27/19,3/31/21,Implement automated equipment to improve productivity in the manufacturing sector,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358211,GC-WD-DEO-2019-2020-Q2-139,Unifab Industries Ltd.,Grand Forks,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15623,15623,483227,9/13/19,1/31/21,Purchase and install automated processing system equipment to increase productivity,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358078,GC-WD-DEO-2019-2020-Q2-4,Bow Valley College|Collège de Bow Valley ,Calgary,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15565,15565,25000,7/24/19,9/30/19,Support for the 2019 Innovation Rodeo Conference,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358212,GC-WD-DEO-2019-2020-Q2-140,Advanced Water Technologies Inc.,Raymond,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15736,15736,100000,9/4/19,6/1/21,Upgrade facility and pursue marketing strategy for agricultural bio-products,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358076,GC-WD-DEO-2019-2020-Q2-2,Three Farmers Foods Inc.,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15504,15504,1836000,8/7/19,8/31/23,Implement process efficiencies and scale-up production for pulse snacks market expansion,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358213,GC-WD-DEO-2019-2020-Q2-141,1780407 Alberta Corp.,Calgary,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15737,15737,100000,9/9/19,6/30/21,Purchase equipment and upgrade software to improve manufacturing capabilities,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358214,GC-WD-DEO-2019-2020-Q2-142,IWR Technologies Ltd.,Calgary,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15738,15738,100000,9/5/19,6/1/21,Modify manure management technology to reduce production costs and expand internationally,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358215,GC-WD-DEO-2019-2020-Q2-143,Tesseral Technologies Inc.,Calgary,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15739,15739,100000,9/11/19,6/1/21,Expand sales of subsurface imaging and modeling software platform to new global markets,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358216,GC-WD-DEO-2019-2020-Q2-144,Applied Quantum Materials Inc.,St Albert,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15467,15467,200000,8/8/19,3/31/22,"Increase silicon nanomaterials production for defense, security and construction markets",Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358217,GC-WD-DEO-2019-2020-Q2-145,Viamo Inc.,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15483,15483,266870,8/21/19,6/30/22,Scale-up communication service operations and expand into West African markets,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358316,GC-WD-DEO-2019-2020-Q2-246,Alberta Women Entrepreneurs Association,Edmonton,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15400,15400,1140000,6/17/19,9/15/23,Launch a digital business training program for women entrepreneurs across Alberta,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358067,GC-WD-DEO-2019-2020-Q1-92,The Governors of the University of Lethbridge,Lethbridge,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15316,15316,1195805,3/29/19,2/29/24,Acquire an airborne 3D data collection sensor with a multi-spectral LIDAR imaging system,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358220,GC-WD-DEO-2019-2020-Q2-148,Avena Foods Limited,Regina,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15505,15505,1826398,8/16/19,3/31/21,Establish gluten-free oat processing facility to gain efficiencies and expand markets,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358065,GC-WD-DEO-2019-2020-Q1-90,RUNWITHIT SYNTHETICS INC.,Sherwood Park,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15428,15428,100000,3/8/19,6/1/21,Implement a strategy to increase access to markets for artificial intelligence services,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358221,GC-WD-DEO-2019-2020-Q2-149,Lighthouse Labs Inc.,Vancouver,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15546,15546,712500,8/8/19,3/31/22,Expand software development bootcamp in Calgary,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358222,GC-WD-DEO-2019-2020-Q2-150,Coulson Ice Blast Ltd.,Port Alberni,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15632,15632,359000,7/10/19,3/31/21,Purchase and installation of equipment and launch of new ice blast mass market technology,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358060,GC-WD-DEO-2019-2020-Q1-85,Saskatchewan Collaborates Inc.,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15460,15460,20000,5/15/19,6/19/19,Support the Uniting the Prairies (UP) Conference 2019 in Saskatoon,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358224,GC-WD-DEO-2019-2020-Q2-152,Mine & Yours Ltd.,Vancouver,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15720,15720,100000,9/6/19,6/1/21,Expand luxury goods resale business into the U.S.A. and Canada,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358226,GC-WD-DEO-2019-2020-Q2-154,VIATEC and Accelerate Okanagan Technology Association|VIATEC et Accelerate Okanagan Technology Association ,Victoria,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15559,15559,2855550,7/16/19,6/30/22,Implement Scale-Up BC in South Vancouver Island and Okanagan,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358036,GC-WD-DEO-2019-2020-Q1-61,Rapid-Span Structures Ltd.,Armstrong,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15618,15618,1000000,6/25/19,3/31/21,Expand and upgrade production facility to increase productivity,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358034,GC-WD-DEO-2019-2020-Q1-59,Foresight Cleantech Accelerator Centre,Burnaby,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15557,15557,199000,6/21/19,6/30/20,Implement a clean technology cluster initiative for the Province of British Columbia,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358080,GC-WD-DEO-2019-2020-Q2-6,Pricerazzi Inc.,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15477,15477,1000000,7/19/19,3/31/23,Expand a digital price protection service into the European market,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358237,GC-WD-DEO-2019-2020-Q2-165,Timber West Construction Ltd.,Prince George,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15626,15626,500000,7/3/19,3/31/21,Install blasting and coating equipment to grow local steel capacity,Western Canadian businesses are innovative.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358238,GC-WD-DEO-2019-2020-Q2-166,Hippo Hug Inc,Calgary,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15728,15728,100000,9/10/19,6/1/21,Produce and market a multi-patient wipeable weighted blanket for the health care industry,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358006,GC-WD-DEO-2019-2020-Q1-31,Aerospace Industries Association of Canada,Ottawa,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15462,15462,1500000,6/18/19,6/30/22,Support the Western Canada Aerospace Innovation and Development Project,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358005,GC-WD-DEO-2019-2020-Q1-30,New Media Manitoba Inc.,Winnipeg,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15455,15455,2200000,4/5/19,9/30/22,Deliver programming to support the exponential growth of the IDM industry in Manitoba,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358004,GC-WD-DEO-2019-2020-Q1-29,Women Entrepreneurs of Saskatchewan Inc.,Saskatoon,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15437,15437,1560000,6/13/19,9/15/23,Launch a new program to scale-up growth orientated women led businesses,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
358003,GC-WD-DEO-2019-2020-Q1-28,The University of British Columbia,Vancouver,Regional Economic Growth through Innovation,"Provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.",15314,15314,2708963,5/22/19,4/30/23,Expand solar energy demonstration platform and micro-grid at UBC,Western Canadian businesses are competitive and export their products/services.,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
