prog_name_en,recipient_city,agreement_value,Total,,
Steel and Aluminum Initiative,Leamington,1470000,,,
Steel and Aluminum Initiative,London,180000,,,
Steel and Aluminum Initiative,Mississauga,2485000,,,
Steel and Aluminum Initiative,Norwich,490000,,,
Steel and Aluminum Initiative,Oldcastle,1605000,,,
Steel and Aluminum Initiative,Ottawa,199000,,,
Steel and Aluminum Initiative,Plantagenet,485000,,,
Steel and Aluminum Initiative,Scarborough,280000,,,
Steel and Aluminum Initiative,St. Catharines,180000,,,
Steel and Aluminum Initiative,Stoney Creek,985000,,,
Steel and Aluminum Initiative,Stratford,400000,,,
Steel and Aluminum Initiative,Thorndale,225000,,,
Steel and Aluminum Initiative,Toronto,520000,,,
Steel and Aluminum Initiative,Vineland Station,169000,,,
Steel and Aluminum Initiative,Waterloo,750000,,,
Steel and Aluminum Initiative,Windsor,1505000,,,
Steel and Aluminum Initiative,Windsor ,580000,,,
WES Ecosystem Fund (National),Ottawa,1200000,5454836,,
WES Ecosystem Fund (National),Toronto,4254836,,,
WES Ecosystem Fund (Regional),Bancroft,266250,20665844,,
WES Ecosystem Fund (Regional),Burlington,307800,,,
WES Ecosystem Fund (Regional),Cobourg,1436500,,,
WES Ecosystem Fund (Regional),Guelph,1879983,,,
WES Ecosystem Fund (Regional),Hamilton,1015641,,,
WES Ecosystem Fund (Regional),Hawkesbury,955128,,,
WES Ecosystem Fund (Regional),Kingston,823000,,,
WES Ecosystem Fund (Regional),London,3585303,,,
WES Ecosystem Fund (Regional),Markham,1716835,,,
WES Ecosystem Fund (Regional),Sarnia,337000,,,
WES Ecosystem Fund (Regional),Toronto,6265404,,,
WES Ecosystem Fund (Regional),Waterloo,1385000,,,
WES Ecosystem Fund (Regional),Windsor,692000,,,
Women Entrepreneurship Fund,Ajax,100000,7100010,,
Women Entrepreneurship Fund,Alexandria,100000,,,
Women Entrepreneurship Fund,Aylmer,100000,,,
Women Entrepreneurship Fund,BELLEVILLE,84306,,,
Women Entrepreneurship Fund,Bailieboro,100000,,,
Women Entrepreneurship Fund,Barrie,24520,,,
Women Entrepreneurship Fund,Brampton,100000,,,
Women Entrepreneurship Fund,Brantford,100000,,,
Women Entrepreneurship Fund,CARLETON PLACE,98000,,,
Women Entrepreneurship Fund,Cambridge,100000,,,
Women Entrepreneurship Fund,Chalk River,100000,,,
Women Entrepreneurship Fund,Chatham,100000,,,
Women Entrepreneurship Fund,Collingwood,200000,,,
Women Entrepreneurship Fund,Dundas,100000,,,
Women Entrepreneurship Fund,Flesherton,100000,,,
Women Entrepreneurship Fund,Guelph,200000,,,
Women Entrepreneurship Fund,Haliburton,95000,,,
Women Entrepreneurship Fund,Hamilton,100000,,,
Women Entrepreneurship Fund,Kanata,100000,,,
Women Entrepreneurship Fund,Kingston,89460,,,
Women Entrepreneurship Fund,Kitchener,300000,,,
Women Entrepreneurship Fund,L'Orignal,100000,,,
Women Entrepreneurship Fund,London,167366,,,
Women Entrepreneurship Fund,Loretto,100000,,,
Women Entrepreneurship Fund,Markham,100000,,,
Women Entrepreneurship Fund,Meaford,100000,,,
Women Entrepreneurship Fund,Mississauga,400000,,,
Women Entrepreneurship Fund,Mono,100000,,,
Women Entrepreneurship Fund,New Dundee,99900,,,
Women Entrepreneurship Fund,Newmarket,100000,,,
Women Entrepreneurship Fund,North York,100000,,,
Women Entrepreneurship Fund,Oakville,200000,,,
Women Entrepreneurship Fund,Ottawa,200000,,,
Women Entrepreneurship Fund,Paisley,100000,,,
Women Entrepreneurship Fund,Penetanguishene,100000,,,
Women Entrepreneurship Fund,Peterborough,200000,,,
Women Entrepreneurship Fund,Picton,100000,,,
Women Entrepreneurship Fund,Point Edward,100000,,,
Women Entrepreneurship Fund,Puslinch,100000,,,
Women Entrepreneurship Fund,Richmond Hill,100000,,,
Women Entrepreneurship Fund,STONEY CREEK,100000,,,
Women Entrepreneurship Fund,Smiths Falls,100000,,,
Women Entrepreneurship Fund,St. Catharines,100000,,,
Women Entrepreneurship Fund,St. Thomas,96458,,,
Women Entrepreneurship Fund,Stratford,100000,,,
Women Entrepreneurship Fund,Thornhill,100000,,,
Women Entrepreneurship Fund,Toronto,1245000,,,
Women Entrepreneurship Fund,Waterloo,100000,,,
Women Entrepreneurship Fund,Whitby,100000,,,
Women Entrepreneurship Fund,Windsor,100000,,,
