,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
94258,GC-2016-Q4-00019,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,"Washington|Washington, D.C., 20433, DC",,Capacity-Building Initiative for Transparency Trust Fund,,GCXE17I013,5000000,3/23/17,,,,Multi-year agreement.  Recipient redistributes the contribution award to third-party beneficiaries.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94259,GC-2016-Q4-00020,INTERNATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT,"Winnipeg, Manitoba",,Environmental integrity in global carbon markets,,GCXE17I011,75000,1/10/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94260,GC-2016-Q4-00021,LA SOCIÉTÉ CANADIENNE POUR LA CONSERVATION DE LA NATURE,"Montréal, Quebec|Montréal, Québec",,Conservation of critical habitat of the Western Chorus Frog Population in the Great Lakes / St. Lawrence River and the Canadian Shield in the Outaouais Valley,,GCXE17C380,133000,3/23/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94261,GC-2016-Q4-00036,RÉSEAU ENVIRONNEMENT,"Montreal, Quebec|Montreal, Québec",,"Americana 2017, the International Environmental Technology Trade Show and Conference",,GCXE17P187,100000,3/10/17,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94262,GC-2016-Q4-00022,LOWER THAMES VALLEY CONSERVATION AUTHORITY,"Chatham, Ontario",,Species at Risk Conservation Agreement Development for the Lower Thames Valley Conservation Authority,,GCXE17C378,49836,3/21/17,,,,Multi-year agreement.  Recipient redistributes the contribution award to third-party beneficiaries.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94263,GC-2016-Q4-00023,MANITOBA BEEF PRODUCERS,"Winnipeg, Manitoba",,Manitoba Mixed-Grass Prairie Species at Risk Enhancement Project,,GCXE17C107,750000,11/29/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94264,GC-2016-Q4-00024,MCGILL UNIVERSITY,"Montreal, Quebec|Montreal, Québec",,Where to Preserve Future Critical Salt Marsh Habitat for Species at Risk on Chaleur Bay,,GCXE17C271,65700,9/30/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94265,GC-2016-Q4-00025,MCGILL UNIVERSITY,"Montreal, Quebec|Montreal, Québec",,Analysis of the connectivity needed to ensure the survival of the Western Chorus Frog,,GCXE17C371,30000,1/30/17,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94266,GC-2016-Q4-00026,MEG ENERGY,"Calgary, Alberta",,Regional Industry Caribou Collaboration Joint Industry Project Woodland Caribou Habitat Restoration Project,,GCXE17C356,300000,3/29/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94267,GC-2016-Q4-00027,MEMORIAL UNIVERSITY OF NEWFOUNDLAND,"St. John's, Newfoundland and Labrador|St. John's, Terre-Neuve-et-Labrador",,Fernald’s Flowers – Active Restoration & Threat Mitigation of Limestone Barrens for Long-term Sustainability,,GCXE17C328,319767,9/29/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94268,GC-2016-Q4-00028,MÉTIS NATIONAL COUNCIL,"Ottawa, Ontario",,Supporting Capacity of National Indigenous Organization Work and Engagement,,GCXE17C248,240000,2/24/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
