,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
94495,GC-2017-Q2-00177,THE CORPORATION OF THE TOWN OF NIAGARA ON THE LAKE,"VIRGIL, ON",,Identification of Non-point Source Pollution through Water Quality Testing,,GCXE18P059,70000,7/17/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94496,GC-2017-Q2-00178,THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO,"TORONTO, ON",,Napanee River Study,,GCXE18P056,73500,9/5/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94497,GC-2017-Q2-00179,THE GOVERNORS OF ACADIA UNIVERSITY,"WOLFVILLE, NS",,Identifying foraging ranges and dietary drivers of breeding success for seabirds breeding on Country Island,,GCXE18C226,90000,9/1/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94498,GC-2017-Q2-00180,THE GOVERNORS OF ACADIA UNIVERSITY,"WOLFVILLE, NS",,Protecting Reptiles at Risk in Nova Scotia: Engaging Citizens on the Landscape,,GCXE18C328,205878,9/29/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94499,GC-2017-Q2-00196,UNIVERSITY OF WATERLOO,"WATERLOO, ON",,Making Canada’s Arctic Data and Observations Publicly Available at the Polar Data Catalogue,,GCXE18M014,70000,9/7/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94500,GC-2017-Q2-00189,UNIVERSITÉ CONCORDIA,"MONTRÉAL, QC",,Identification of criteria for determining the restoration potential for riparian wetlands in severely degraded agricultural areas,,GCXE18C112,153700,9/20/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94501,GC-2017-Q2-00190,UNIVERSITÉ DE MONTRÉAL,"MONTRÉAL, QC",,Research to support advances in the automatic translation of environmental information,,GCXE18M016,75000,10/5/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94502,GC-2016-Q2-00046,COMITÉ ZIP LES DEUX RIVES,"Trois-Rivières, Quebec|Trois-Rivières, Québec",,Comité ZIP Les Deux Rives,,GCXE17P147,375000,7/29/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94503,GC-2017-Q2-00192,UNIVERSITY OF BRITISH COLUMBIA,"VANCOUVER, BC",,Dry Interior and Alpine Ecosystem Research in British Columbia,,GCXE18S002,100000,9/19/17,,,,Multi-year agreement.  Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94504,GC-2017-Q2-00193,UNIVERSITY OF OTTAWA,"OTTAWA, ON",,Nature Watch Canada - Leveraging the Power of Citizen Science,,GCXE18S007,75000,9/19/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94505,GC-2017-Q2-00194,UNIVERSITY OF PRINCE EDWARD ISLAND,"CHARLOTTETOWN, PE",,"Bats Roosting in Anthropogenic Structures: ""Building"" a Better Understanding in Prince Edward Island and Newfoundland and Labrador through Stewardship and Outreach",,GCXE18C256,152658,8/10/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94506,GC-2017-Q2-00195,UNIVERSITY OF VICTORIA,"VICTORIA, BC",,Safer Shipping through Summer Sea Ice: New Synthetic Aperture Radar Based Tools for Monitoring and Predicting Sea Ice Conditions,,GCXE18M006,40000,7/4/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94507,GC-2017-Q2-00197,UNIVERSITY OF WATERLOO,"WATERLOO, ON",,Retrieval and assimilation of ice/water and ice concentration from Synthetic Aperture Radar imagery,,GCXE18M017,107362,7/17/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94508,GC-2012-Q2-00011,CAFF INTERNATIONAL SECRETARIAT,Akureyri,,To enable the recipient to prepare a summary of policy makers as part of the Arctic Biodiversity Assessment.,,K2A25-12-0001-IP,30000,9/5/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94509,GC-2017-Q2-00198,UNIVERSITY OF WESTERN ONTARIO,"LONDON, ON",,Investigate New Methods to Parametrise Snow Density and to Calculate Ground Snow Loads and Wind Loads for Publication in Canadian Infrastructure Codes and Standards. ,,GCXE18M018,90000,9/27/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94510,GC-2017-Q2-00199,VANCOUVER ISLAND UNIVERSITY,"NANAIMO, BC",,The Coastal High Elevation Weather Station Network: Improving access to high quality real-time and historic weather station data on British Columbia’s Coast,,GCXE18M013,130000,9/7/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94511,GC-2017-Q2-00200,WILDLIFE CONSERVATION SOCIETY CANADA,"TORONTO, ON",,"Preparing Western Canada for White Nose Syndrome: Engaging Citizens in Bat Inventory, Monitoring and Conservation",,GCXE18C318,61140,9/21/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94512,GC-2017-Q2-00201,WILDLIFE CONSERVATION SOCIETY CANADA,"TORONTO, ON",,"Preparing Western Canada for White Nose Syndrome: Engaging Citizens in Bat Inventory, Monitoring and Conservation",,GCXE18C318,61140,9/26/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94513,GC-2017-Q2-00203,WILDLIFE PRESERVATION CANADA,"GUELPH, ON",,Recovering Massasaugas at the Ojibway Prairie Complex and Greater Park Ecosystem,,GCXE18C261,169590,9/25/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94514,GC-2016-Q2-00047,COMITÉ ZIP SAGUENAY-CHARLEVOIX,"La Baie, Quebec|La Baie, Québec",,ZIP Saguenay-Charlevoix,,GCXE17P155,375000,9/1/16,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94515,GC-2017-Q2-00204,WINTER RIVER - TRACADIE BAY WATERSHED ASSOCIATION,"DUNSTAFFNAGE, PE",,Improving forests and coastlines in Winter River - Tracadie Bay Watershed,,GCXE18P090,77760,8/22/17,,,,Multi-year agreement.  Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94516,GC-2017-Q2-00205,WOLF LAKE FIRST NATION,"TEMISCAMING, QC",,Mahingan Algonquin Wolf Stewardship Program,,GCXE18C028,93451,8/23/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94517,GC-2017-Q2-00206,WOMEN’S ENVIRONMENT AND DEVELOPMENT ORGANIZATION,NEW YORK,,Advancing Gender Responsive Climate Action and Capacity Building for Female Negotiators,,GCXE18I007,215000,9/12/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94518,GC-2017-Q2-00207,WORLD METEOROLOGICAL ORGANIZATION,GENEVA,,Canadian contribution to Data Buoy Co-operational Panel and Ship Observing Team. ,,GCXE18M004,30000,9/20/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94519,GC-2017-Q2-00208,WORLD METEOROLOGICAL ORGANIZATION,GENEVA,,GURME trust fund: Study to improve Urban Meteorology,,GCXE18M008,58500,9/28/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94520,GC-2016-Q2-00160,UPPER THAMES RIVER CONSERVATION AUTHORITY,"London, Ontario",,Thames River Species at Risk Reptile Stewardship Initiative,,GCXE17C180,48200,8/29/16,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94521,GC-2012-Q1-00001,HUMBER ARM ENVIRONMENTAL ASSOC INC.,"Corner Brook, Newfoundland and Labrador|Corner Brook, Terre-Neuve-Et-Labrador",,The purpose of this project is to enable the recipient to restore and stabilize the banks of the lower section of the Corner Brook Stream to reduce erosion and the resulting siltation.,,K2B61-12-0002-IP,30000,5/31/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94522,GC-2012-Q2-00012,CANARDS ILLIMITES CANADA,"Quebec, Quebec|Québec, Québec",,Conservation of wetlands and highlands associated with the Mixedwood Plains.,,K4C25-12-9017,174637,9/28/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94523,GC-2012-Q1-00002,SALMO WATERSHED STREAMKEEPERS SOCIETY AND THE UPPER COLUMBIA WHITE STURGEON RECO,"Salmo, British Columbia|Salmo, Colombie Britannique",,The purpose of this project is to provide anglers with information to reduce their impact on white sturgeon and aid in species recovery.,,K0F61-12-0005-IP,35858,4/1/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94524,GC-2012-Q1-00003,SUSTAINABLE DEVELOPMENT TECHNOLOGY CANADA,"Ottawa, Ontario",,Funding Agreement pertaining to the Next-Generation Biofuels Fund,,K8A53-11-0011-IP,87500000,4/1/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94525,GC-2012-Q2-00001,ACAP SAINT JOHN,"Saint John, New Brunswick|Saint John, Nouveau-Brunswick",,The purpose of this project is to enable the recipient to focus on determing the best riparian cover vegetation while increasing vegetative biodiversity and acquiring baseline data.,,K2B61-12-0023-IP,82000,9/10/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94526,GC-2012-Q2-00002,ACZISC,"Halifax, Nova Scotia|Halifax, Nouvelle-Écosse",,"The purpose of this project is to enable the recipient to focus on implementing phase 5 of COINAtlantic, which provides tools and training to enable easier and more functional access to data and information.",,K2B61-12-0030-IP,50000,9/13/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94527,GC-2012-Q2-00003,ASSOCIATION OF CANADIAN DELEGATES TO THE GULF OF MAINE COUNCIL ON THE MARINE ENV,"Halifax, Nova Scotia|Halifax, Nouvelle-Écosse",,The purpose of this project is to enable the recipient to focus on identifying resilience and vulnerability of coastal communities to climate change; and implementing water quality monitoring programs.,,K2B61-12-0018-IP,50000,9/5/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94528,GC-2012-Q2-00010,BLUENOSE COASTAL ACTION FOUNDATION,"Lunenburg, Nova Scotia|Lunenburg, Nouvelle-Écosse",,To enable the recipient to monitor and sample Atlantic whitefish passing through the Hebb dam fish passage facility and use habitat assessment data to address any habitat restoration issues.,,K4B20-12-0015-IP,45000,9/17/12,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94529,GC-2012-Q2-00004,AUSABLE BAYFIELD CONSERVATION AUTHORITY,"Exeter, Ontario",,The purpose of this project is to enable the recipient to deliver on the Great Lakes Water Quality Agreement commitments through stakeholder engagement.,,KW405-12-0025-IP,120310,9/13/12,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94530,GC-2012-Q2-00005,BATTLE RIVER WATERSHED ALLIANCE,"Camrose, Alberta",,To demonstrate the use of native landscape design practices and bio-technical river bank stabilization measures to correct a severely eroding river bank. ,,K4E31-12-0007-IP,40000,8/2/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94531,GC-2012-Q2-00006,BEDEQUE BAY ENVIRONMENTAL MANAGEMENT ASSOCIATION,"Emerald, Prince Edward Island|Emerald, Île-Du-Prince-Édouard",,"The purpose of this project is to enable the recipient to focus on implementing regional education/monitoring programs, reducing sediment load to improve water quality and improving pollinator habitat protection.",,K2B61-12-0033-IP,82000,9/25/12,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94532,GC-2012-Q2-00007,BIRD STUDIES CANADA,"Port Rowan, Ontario",,"To enable recipient to engage individuals, non-profit organizations, community groups, businesses, and all levels of government in stewardship activities that benefit endangered Piping Plovers.",,K4B20-12-0011-IP,123076,8/23/12,,,,Project funded by multiple federal departments and/or agencies. Multi-year agreement.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94533,GC-2012-Q2-00008,BLOOD TRIBE LAND MANAGEMENT DEPARTMENT,"Stand Off, Alberta",,The purpose of the project is to conserve Prairies wildlife through development of an inventory and monitoring program within blackfoot territory.,,K4E31-12-0023-IP,48075,9/13/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94534,GC-2012-Q2-00009,BLUENOSE COASTAL ACTION FOUNDATION,"Lunenburg, Nova Scotia|Lunenburg, Nouvelle-Écosse",,The purpose of this project is to enable the recipient to examine coastal erosion and its impacts on the islands and coastal communities.,,K2B61-12-0021-IP,82000,9/10/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94535,099-2018-2019-02-00006,Athabasca Chipewyan First Nation,Fort Mcmurray,,,,,150000,9/14/18,,Community Based Monitoring Program,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94536,GC-2012-Q2-00013,CENTRAL LABRADOR ENVIRONMENTAL ACTION NETWORK,"Happy Valley - Goose Bay, Newfoundland and Labrador|Happy Valley - Goose Bay, Terre-Neuve-Et-Labrador",,The purpose of this project is to enable the recipient to focus on the implementation of the Upper Lake Melville Comprehensive Environmental Management Plan.,,K2B61-12-0024-IP,45000,9/11/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94537,GC-2012-Q2-00014,CENTRAL QUEENS WILDLIFE FEDERATION,"Bonshaw, Prince Edward Island|Bonshaw, Île-Du-Prince-Édouard",,To support Clyde River Watershed Nutrient management project.,,K2B61-12-0014-IP,31000,8/24/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94538,GC-2012-Q2-00015,CENTRE DE CONSERVATION DE LA NATURE MONT SAINT-HILAIRE,"Mont Saint-Hilaire, Quebec|Mont Saint-Hilaire, Québec",,Protection and improvement of the species at risk habitat in the Mont Saint-Hilaire Biosphere Reserve.,,K4C25-12-0016-IP,147434,9/17/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94539,GC-2012-Q2-00040,EVERGREEN,"Toronto, Ontario",,The purpose of the project is to increase biodiversity in public greenspaces.,,KW405-12-0013-IP,90000,7/30/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94540,GC-2012-Q2-00016,CENTRE FOR INDIGENOUS ENVIRONMENTAL RESOURCES,"Winnipeg, Manitoba",,"To support ""Species at Risk"" bird survey in Manitoba First Nations",,K4E31-12-0028-IP,50000,9/19/12,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94541,GC-2012-Q2-00022,COBEQUID SALMON ASSOCIATION,"Truro, Nova Scotia|Truro, Nouvelle-Écosse",,To support Little River Restoration Project,,K4B20-12-0008-IP,38890,8/2/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94542,GC-2012-Q2-00017,CHEAM INDIAN BAND,"Rosedale, British Columbia|Rosedale, Colombie Britannique",,"To enable the recipient to increase capacity of Sto:lo members to monitor Species at Risk populations, and conduct data collection for ecosystems and species.",,K2F51-12-0006-IP,66500,8/24/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94543,099-2018-2019-02-00007,Avalanche Canada,Revelstoke,,,,,75000,9/21/18,,Provision of avalanche safety programs in Canada,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94544,GC-2012-Q2-00018,CLEAN AIR CHAMPIONS,"Ottawa, Ontario",,To enable the recipient to deliver the Air Aware Program to elementary/high school students through in-class presentations and online mediums and champion the Air Quality Health Index (AQHI) tool to the National Coach Association.,,K3A40-12-9001,30000,9/20/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94545,GC-2012-Q2-00019,CLEAN ANNAPOLIS RIVER PROJECT,"Annapolis Royal, Nova Scotia|Annapolis Royal, Nouvelle-Écosse",,The purpose of this project is to enable the recipient to focus on understanding the ecological and habitat needs of the wood turtle; and conduct a range of monitoring programs related to water quality.,,K2B61-12-0032-IP,82000,9/25/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94546,GC-2012-Q2-00020,CLUB CONSEILSOL,"Saint-Mathieu-De-Beloeil, Quebec|Saint-Mathieu-De-Beloeil, Québec",,Improvement of the habitat of the copper redhorse and four other fish species with precarious status in an agricultural setting.,,K4C25-12-0014-IP,181820,9/17/12,,,,Project funded by multiple federal departments and/or agencies. Multi-year agreement.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94547,GC-2012-Q2-00021,COALITION DES BASSINS VERSANTS DE KENT,"Cocagne, New Brunswick|Cocagne, Nouveau-Brunswick",,Protection of the piping plover and its coastal habitats in southeastern New Brunswick,,K4B20-12-0006-IP,28780,7/20/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94548,GC-2012-Q2-00023,COMMISSION FOR ENVIRONMENTAL COOPERATION,"Montreal, Quebec|Montreal, Québec",,Payment of Canada's assessed contribution to the Commission for Environmental Cooperation (CEC) for calendar year 2012.,,K5A20-12-0001-IP,3101100,7/24/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94549,GC-2013-Q2-00002,ACADIA UNIVERSITY,"Wolfville, Nova Scotia|Wolfville, Nouvelle-Écosse",,"To enable the recipient to  use advanced, bird-borne miniature tracking technologies to collect data on movements, distribution and marine habitat use by seabirds near their colonies at EC field sites.",,K2E58-13-9001,30000,7/17/13,,,,Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94550,GC-2012-Q2-00024,CONSEIL DES ANICINAPEK DE KITCISAKIK,"Kitcisakik, Quebec|Kitcisakik, Québec",,Reinforcement activities for actions to protect the lake sturgeon and the woodland caribou in the territory of the Algonquin communities of Kiticisakik.,,K2C55-12-0001-IP,118000,8/21/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94551,GC-2012-Q2-00025,CONSERVATION HALTON,"Burlington, Ontario",,To enable the recipient to initiate the establishment of 50 hectres of grassland and 3 hectares of wetland on retained agricultural land with Glenorchy Conservation area in Oakville.,,KW405-12-0014-IP,39958,8/21/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94552,GC-2012-Q2-00026,COOL NORTH SHORE SOCIETY,"Vancouver, British Columbia|Vancouver, Colombie Britannique",,To enable the recipient to support homeowners on the North Shore of Vancouver with reducing and conserving energy in their homes with use of energy audits. ,,K4E31-12-0011-IP,98000,8/13/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94553,GC-2012-Q2-00027,CORPORATION OF THE CITY OF QUINTE WEST,"Trenton, Ontario",,The purpose of this project is to enable the recipient to undertake an Inflow and Infiltration Study to identify sources of  extraneous flows in the Trenton wastewater collection system.,,KW405-12-9044,55066,9/26/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94554,GC-2012-Q2-00028,COWICHAN TRIBES,"Duncan, British Columbia|Duncan, Colombie Britannique",,To enable the recipient to visit and search Garry Oak Ecosystems by a botanical expert and a Cowichan assistant for Species at Risk.,,K2F51-12-0019-IP,55736,9/18/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94555,GC-2012-Q2-00034,ECO PERTH,"Perth, Ontario",,To support development of Guidelines for Mexico's National Greenhouse Gas (GHG) Inventory on a biannual basis.,,K5A30-12-0003-IP,125000,8/15/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94556,GC-2012-Q2-00029,DUCKS UNLIMITED CANADA,"Corner Brook, Newfoundland and Labrador|Corner Brook, Terre-Neuve-Et-Labrador",,The purpose of this project is to enable the recipient to implement activities from Ducks Unlimited Canada's Atlas of potential conservation projects resulting in the protection of wetlands.,,K2B61-12-0031-IP,45000,9/10/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94557,GC-2012-Q2-00074,NATURE CONSERVANCY OF CANADA,"Victoria, British Columbia|Victoria, Colombie Britannique",,To support the Osoyoos Oxbows Riparian Habitat Stewardship project.,,K2F51-12-0018-IP,71350,9/24/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94558,GC-2012-Q2-00030,DUCKS UNLIMITED CANADA,"Ottawa, Ontario",,To support the recipient in implementation of the North American Waterfowl management plan in Atlantic Canada,,K4B20-12-0014-IP,146830,9/17/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94559,GC-2012-Q2-00031,DUCKS UNLIMITED CANADA,"Stonewall, Manitoba",,"To enable the recipient to undertake habitat securement, restoration, retention, policy, and management as outlined in the Prairie Habitat Joint Venture Implementation Plan 2007-12 and as specified in the annnual working plan.",,K4E31-12-9040,614000,9/19/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94560,GC-2012-Q2-00032,EARTH RANGERS FOUNDATION,"Woodbridge, Ontario",,The purpose of this project is to enable the recipient to undertake restoration activities to increase biodiversity and native habitat through tallgrass prairie and wetland improvements.,,KW405-12-0018-IP,55000,8/29/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94561,GC-2012-Q2-00033,EASTERN CHARLOTTE WATERWAYS INC.,"Blacks Harbour, New Brunswick|Blacks Harbour, Nouveau-Brunswick",,The purpose of this project is to enable the recipient to focus on identifying persistent sources of coastal contamination; and developing an integrated watershed management plan.,,K2B61-12-0020-IP,82000,9/10/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94562,GC-2012-Q2-00035,ECOLOGY ACTION CENTRE,"Halifax, Nova Scotia|Halifax, Nouvelle-Écosse",,To identify and implement appropriate living shoreline methods to manage erosion on coastal properties in the Northumberland Strait,,K2B61-12-0010-IP,55000,7/27/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94563,GC-2012-Q2-00036,ECOSUPERIOR ENVIRONMENTAL PROGRAMS,"Thunder Bay, Ontario",,The purpose of this project is to enable the recipient to undertake additional studies to assess various sediment management options.,,KW405-12-9037,200000,9/27/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94564,GC-2012-Q2-00037,ESSEX REGION CONSERVATION AUTHORITY,"Essex, Ontario",,The purpose of this project is to enable the recipient to implement a non-point source pollution remediation program in priority areas of the Detroit River watershed which will reduce non-point source contamination entering the Detroit River,,KW405-12-9053,80000,9/28/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94565,GC-2012-Q2-00038,ESSEX REGION CONSERVATION AUTHORITY,"Essex, Ontario",,"The purpose of this project is to enable the recipient to implement a habitat restoration program focussed on the priority areas of the Detroit River watershed, as identified by the Detroit River Remedial Action Plan.",,KW405-12-9054,90000,9/28/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94566,GC-2012-Q2-00116,TRIBAL CHIEFS VENTURES INCORPORATED,"Edmonton, Alberta",,To support Tribal Chief's Heart Lake Wood Bison project,,K4E31-12-0025-IP,75000,9/12/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94567,GC-2012-Q2-00056,KTUNAXA NATION COUNCIL,"Cranbrook, British Columbia|Cranbrook, Colombie Britannique",,"The purpose of the project is to inventory Yellow Chats, build external relationships and strengthen community capacity.",,K2F51-12-0017-IP,25050,9/17/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94568,GC-2012-Q2-00039,EVERGREEN,"Vancouver, British Columbia|Vancouver, Colombie Britannique",,"To have a positive ecological impact on Metro Vancouver watersheds in Jericho park, North Vancouver Parks and Still Creek Watershed.",,K4E31-12-0016-IP,55530,8/29/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94569,GC-2012-Q2-00041,EVERGREEN,"Toronto, Ontario",,The purpose of this project is to enable the recipient to provide an integrated approach to preserving and protecting local biodiversity through public education and action through environmental restoration and monitoring.,,KW405-12-0015-IP,94000,8/30/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94570,GC-2012-Q2-00042,FORT FOLLY FIRST NATION,"Dorchester, New Brunswick|Dorchester, Nouveau-Brunswick",,"To enable the recipient to develop a comprehensive watershed restoration framework for iBoF Atlantic salmon, Wood turtle, and American eel freshwater habitat...",,K4B20-12-9020,315000,9/21/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94571,GC-2012-Q2-00043,FRIENDS OF THE SUMMERLAND ORNAMENTAL GARDENS,"Summerland, British Columbia|Summerland, Colombie Britannique",,The purpose of the project is to educate water users through leading edge water conservation practices and technologies.,,K4E31-12-0036-IP,38925,9/21/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94572,GC-2012-Q2-00044,FUNDY NORTH FISHERMEN'S ASSOCIATION,"Saint Andrews, New Brunswick|Saint Andrews, Nouveau-Brunswick",,To enable the recipient to remove ghost fishing gear from local areas.,,K4B20-12-9026,44373,9/24/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94573,GC-2012-Q2-00045,FUR INSTITUTE OF CANADA,"Ottawa, Ontario",,"To make an annual financial contribution to meet core activity cost, to sustain its programs to ensure continued Canadian compliance to the Agreement on International Humane Trapping Standards",,K4B20-12-0013-IP,97750,9/14/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94574,GC-2012-Q2-00046,GOERT - GARRY OAK ECOSYSTEM RECOVERY TEAM SOCIETY,"Victoria, British Columbia|Victoria, Colombie Britannique",,The pupose of the project is to re-establish a breeding population of Western Bluebirds to areas of their historic range in the Georgia Depression of south-west BC.,,K4E31-12-0021-IP,99940,9/11/12,,,,Project funded by multiple federal departments and/or agencies. Multi-year agreement.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94575,GC-2012-Q2-00047,GROUPE DE DEVELOPPEMENT DURABLE DU PAYS DE COCAGNE,"Cocagne, New Brunswick|Cocagne, Nouveau-Brunswick",,The object of this project is to enable the recipient to encourage and support the establishment of natural spaces on the land of 10 schools in southeastern New Brunswick,,K2B61-12-0029-IP,37600,9/18/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94576,GC-2012-Q2-00048,GWICH'IN RENEWABLE RESOURCE BOARD,"Inuvik, Northwest Territories|Inuvik, Territoires Du Nord-Ouest",,To enable the recipient to implement key educational tasks for Dolly Varden population recovery in the user communities of the Gwich'in Settlement Area and Inuvialuit Settlement Region.,,K4E31-12-0026-IP,80000,9/14/12,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94577,GC-2012-Q2-00049,HAMILTON REGION CONS. AUTH.,"Ancaster, Ontario",,The purpose of this project is to enable the recipient to improve water quality and habitat in the Hamilton Harbour Area of Concern and provide education and outreach opportunities.,,KW405-12-9047,50000,9/26/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94578,GC-2017-Q4-00039,Lake Winnipeg Research Consortium Inc,"Gimli, Manitoba",,Lake Winnipeg Scientific Research Activities,,GCXE18P125,950000,1/24/18,,,,Multi-year,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94579,GC-2012-Q2-00050,INTERNATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT,"Ottawa, Ontario",,Contribution agreement between Environment Canada and the International Institute for Sustainable Development to enable them to help Central African countries develop mitigation actions.,,K5A30-12-0006-IP,780000,9/12/12,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94580,GC-2012-Q4-00035,OECD,Paris,,Assessed contribution to the Organisation for Economic Cooperation and Development for the control of chemicals.,,K8A44-12-9002,99324.42,3/12/13,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
