prog_name_en,recipient_city,year,agreement_value
0,Chicoutimi,2012,1139912
0,Chilliwack,2009,32771
0,Chilliwack,2010,330973
0,Chilliwack,2011,38633
0,Chilliwack,2012,45193
0,Châteauguay,2009,136414
0,Châteauguay,2012,63985
0,Clarenville,2009,56402
0,Clarenville,2010,257230
0,Clarenville,2011,141091
0,Clarenville,2012,47615
0,Coaticook,2012,50000
0,Cobourg,2009,241512
0,Cobourg,2012,178068
0,Cochin,2010,99892
0,Cold Lake,2009,246559
0,Cold Lake,2011,304709
0,Cold Lake,2012,138304
0,Coldbrook,2012,159194
0,Coldwater,2011,75000
0,Collingwood,2009,84737
0,Collingwood,2011,95793
0,Collingwood,2012,564645
0,Columbia Valley,2010,50000
0,Comeau's Hill,2011,54020
0,Comox,2012,36716
0,Conception Bay South,2009,35485
0,Conception Bay South,2011,30031
0,Conception Bay South,2012,30052
0,Conne River,2009,636842
0,Conne River,2010,2742075
0,Coquitlam,2011,25394
0,Corner Brook,2009,43183
0,Corner Brook,2010,131260
0,Corner Brook,2011,107383
0,Corner Brook,2012,2715721
0,Cornwall,2009,140722
0,Cornwall,2010,38547
0,Courtenay,2012,33399
0,Cowansville,2009,50000
0,Cowansville,2011,26268
0,Cowansville,2012,53093
0,Cranberry Portage,2011,75000
0,Cranbrook,2010,152095
0,Cranbrook,2012,65324
0,Cremona,2009,65856
0,Cremona,2011,65120
0,Cremona,2012,48382
0,Creston,2010,51920
0,Creston,2011,1528276
0,Creston,2012,85465
0,Cut Knife,2010,50000
0,Cutler,2009,379870
0,Cutler,2010,6637185
0,Cymric,2011,27464
0,Cymric,2012,29343
0,Dartmouth,2009,1024674
0,Dartmouth,2010,422690
0,Dartmouth,2011,74531
0,Dartmouth,2012,258664
0,Dauphin,2009,119596
0,Dauphin,2011,72505
0,Dauphin,2012,79120
0,Dawson City,2009,45000
0,Dawson City,2010,30983
0,Dawson Creek,2010,32351
0,Debec,2010,127644
0,Deline,2010,3140874
0,Deloraine,2011,89654
0,Delson,2010,287946
0,Delta,2009,648301
0,Delta,2010,961790
0,Delta,2011,937458
0,Delta,2012,43023
0,Denwood,2012,25410
0,Dieppe,2009,47496
0,Dieppe,2010,100948
0,Dieppe,2011,40040
0,Dieppe,2012,238158
0,Digby,2010,156507
0,Digby,2012,140119
0,Dolbeau-Mistassini,2009,115098
0,Dolbeau-Mistassini,2011,76327
0,Dolbeau-Mistassini,2012,107807
0,Dorchester,2012,50000
0,Downsview,2009,28880
0,Drayton,2012,50000
0,Dresden,2012,50000
0,Drumheller,2012,390171
0,Drummondville,2008,32625
0,Drummondville,2009,1227334
0,Drummondville,2010,28538
0,Drummondville,2011,485592
0,Drummondville,2012,1128806
0,Drummonville,2011,59945
0,Dryden,2012,173703
0,Dudswell,2012,154948
0,Duncan,2009,678411
0,Duncan,2012,300903
0,Durham,2011,836640
0,Ear Falls,2009,29895
0,East Angus,2009,139624
0,East Coulee,2009,27440
0,Edmonton,2009,8564496
0,Edmonton,2010,2845628
0,Edmonton,2011,8388961
0,Edmonton,2012,5643685
0,Edmundston,2009,298386
0,Edmundston,2010,273769
0,Edmundston,2011,54686
0,Edmundston,2012,503308
0,Edson,2009,56516
0,Edson,2010,142974
0,Eel Ground,2009,1355168
0,Eel Ground,2011,3838458
0,Elora,2011,39494
0,Elsipogtog,2009,67999
0,Emsdale,2010,50000
0,Enoch,2010,8886865
0,Errington,2012,27300
0,Eskasoni,2012,158854
0,Etobicoke,2011,29084
0,Evansburg,2009,59584
0,Evansburg,2011,51954
0,Evansburg,2012,52602
0,Exeter,2012,50000
0,Ferintosh,2009,42336
0,Ferintosh,2010,99928
0,Ferintosh,2011,26752
0,Fernie,2012,50000
0,Ferryland,2009,55673
0,Ferryland,2011,29640
0,Ferryland,2012,26928
0,Fingal,2011,63506
0,Fitzroy Harbour,2011,75000
0,Flat Bay,2012,49968
0,Flesherton,2009,49289
0,Flesherton,2010,45274
0,Flesherton,2012,48518
0,Flin Flon,2009,37613
0,Flin Flon,2010,67976
